,ID,Link,Title,Location,Excerpt,Address,Size (Meters Squared),Price (ZAR),Bedrooms,Bathrooms,Parking Spaces,Estate Agency,Price per Size (ZAR/Meter Squared)
2009,111083406,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111083406,Apartment,Green Point,"With sweeping views of the mountain and ocean, this large 2 bedroom apartment is finally ...",11 Main Road,87.0,3399000,2.0,1.0,1.0,Law Real Estate,39068.96551724138
2031,111241693,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111241693,Apartment,Green Point,"Exclusive:Most sought afterSpacious Two Bedroom, modern developmentSpacious seamless flowBoth bedrooms en-suite ...",,128.0,5250000,2.0,2.0,2.0,RE/MAX Living,41015.625
2080,111093959,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111093959,Apartment,Green Point,INCREDIBLE SPACE WITH SEA & CITY VIEWSOffering the best of both worlds with ...,24 Ocean View Drive,180.0,8900000,2.0,2.0,2.0,Seeff Sea Point - Sales,49444.444444444445
2093,111399949,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111399949,Apartment,Green Point,Exclusive sole mandate?Completely renovated and refitted throughout by Okha interiors. This Studio is a superb example of elegantly ...,,41.0,2350000,0.5,1.0,1.0,RE/MAX Living,57317.07317073171
2152,111316089,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111316089,Apartment,Green Point,"Perfect opportunity to invest in a beautifully renovated 1 bedroom, 1 bathroom apartment. The unit is spacious and engulfed in natural ...",,56.0,2245000,1.0,1.0,1.0,Tyson Properties Atlantic Seaboard,40089.28571428572
2159,111362002,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111362002,Apartment,Green Point,"35 On Main has become one of Green Point's most sought after addresses. With 24hr manned security, exquisite finishes in the ...",,49.0,3300000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,67346.9387755102
2343,110263597,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110263597,Apartment,Green Point,Investment opportunity as Tenants lease expires 31 December 2023!Lovely spacious  1 ...,87 Somerset Road,67.0,1850000,1.0,1.0,1.0,,27611.940298507463
2387,111325086,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111325086,Apartment,Green Point,This spacious two-bedroomed ground floor apartment conveniently settled between the prestigious Green Point and picturesque Sea Point ...,,114.0,3995000,2.0,2.0,1.0,Greeff Christie's International Real Estate - Head Office,35043.85964912281
2632,111204702,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111204702,Apartment,Green Point,"Welcome to Portswood Mews, a large studio in a newly renovated building in Green Point. Escape to a sun-filled top-floor corner unit ...",,55.0,1650000,0.5,1.0,1.0,Greeff Christie's International Real Estate - Head Office,30000.0
2638,106627714,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/106627714,Apartment,Green Point,"EXCLUSIVE MANDATE - Offers from R4.4m+ invited. Front-facing, spacious, 2-bed, 2-bath apartment offering 2 bedrooms (both en-suite), 2 ...",,110.0,4400000,2.0,2.0,1.0,,40000.0
2651,111102492,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111102492,Apartment,Green Point,Exclusive MandateExperience the best that Green Point has on offer with this 1 ...,133 Main Road,51.0,1595000,1.0,1.0,1.0,Quay 1 International Realty,31274.50980392157
2662,110960304,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110960304,Apartment,Green Point,"From the moment you arrive, the splendor of the architectural designs will envelop your ...","3, 27 High Level Road",117.0,3900000,2.0,2.0,2.0,Keller Williams Dynamic,33333.333333333336
2666,111265834,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111265834,Apartment,Green Point,"From the moment you arrive, the splendor of the architectural designs will envelop your ...","3, 27 High Level Road",117.0,3900000,2.0,2.0,2.0,Keller Williams Dynamic,33333.333333333336
2710,111097495,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111097495,Apartment,Green Point,"Sunny, North-facing, fully renovated, modern studio apartment in trendy Green Point, on ...",20 Hill Rd,38.0,1660000,0.5,1.0,1.0,,43684.21052631579
2720,111129246,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111129246,Apartment,Green Point,A truly unmissable investment opportunity to own in the niche pocket of vibrant Green ...,153 High Level Road,97.0,2695000,2.0,1.0,,Quay 1 International Realty,27783.505154639177
2758,111003567,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111003567,Apartment,Green Point,This seller is VAT registered and the sales price includes VAT at 15%.As a result no ...,9 Scholtz Road,256.0,12750000,3.0,3.5,2.0,Nox Property,49804.6875
2798,111325821,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111325821,Apartment,Green Point,Ultra-modern with style and classthis 1 bed with a leafy outlook has  it all and  is waiting for you to move in.Within a complex ...,,44.0,1850000,1.0,1.0,1.0,RE/MAX Living,42045.454545454544
2806,111279407,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111279407,Apartment,Green Point,"Situated in one of Green Point's most sought-after and well-run blocks, this is a rare find that is guaranteed to bring you good ...",,77.0,2795000,2.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,36298.7012987013
2856,110995988,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110995988,Apartment,Green Point,"This truly one of a kind home has to be seen to be appreciated. Only the finest, top of ...",143 Main Road,180.0,7495000,3.0,3.0,2.0,Pam Golding Properties - Atlantic Seaboard,41638.88888888889
2863,111249883,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111249883,Apartment,Green Point,"With direct access from lock up garage and additional parking bay, this security complex offers exceptional finishes and every ...",,151.0,10000000,3.0,3.5,2.0,Seeff Sea Point - Sales,66225.16556291391
2893,111237623,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111237623,Apartment,Green Point,"Luxury living from this brand new, chic and stylish 2 bedroomed 2 bath roomed apartment. Open plan kitchen and living areas, leading ...",,104.0,4750000,2.0,2.0,1.0,Pam Golding Properties - Atlantic Seaboard,45673.07692307692
2957,111061652,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111061652,Apartment,Green Point,"Location, Location, LocationSituated on Main Road, right across from Green Point ...",133 Main Road,36.0,1490000,1.0,1.0,1.0,Rawson Properties Milnerton,41388.88888888889
2999,111009275,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111009275,Apartment,Green Point,"The developers pick, this modern one bedroom with oversized kitchen and dual terrace is ...",6 Romney Street,60.0,2950000,1.0,1.0,1.0,Realtor of Excellence,49166.666666666664
3035,111227747,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111227747,Apartment,Green Point,A Modern Luxury Living Two Bedroom ApartmentThis Modern Brick finished apartment is situated in  the sought-after neighbourhood ...,,61.0,2795000,2.0,2.0,1.0,Evolution Properties,45819.67213114754
3061,111159940,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111159940,Apartment,Green Point,"In the heart of Green Point this apartment is well positioned,  walking distance to the V&A Waterfront, Green Point Park and Sea ...",,95.0,2950000,2.0,1.0,,Keller Williams Explore Atlantic,31052.63157894737
3200,111252129,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111252129,Apartment,Green Point,"Centrally located within walking distance to the Urban Park and trendy coffee shops and restaurants. This apartment offers views,2 ...",,128.0,3895000,2.0,2.0,1.0,RE/MAX Living,30429.6875
3210,111246388,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111246388,Apartment,Green Point,Find yourself nestled in the middle of Green Point in this wonderful homely block. The apartment itself features a spacious loft ...,,51.0,1950000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,38235.294117647056
3219,111268061,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111268061,Apartment,Green Point,Situated in a complex which offers a communal pool and braai area with an expansive outdoor entertainment area.Easy access to shop at ...,,128.0,4295000,2.0,2.0,2.0,RE/MAX Living,33554.6875
3222,111125121,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111125121,Apartment,Green Point,"This one of a kind, impeccable unit stages itself in a superb location within the Green ...",8 Upper Portswood Road,26.0,1495000,1.0,1.0,1.0,Quay 1 International Realty,57500.0
3248,111071733,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111071733,Apartment,Green Point,Amazing investment opportunity for the first- time buyer. Situated in lively sought ...,3 Vesperdene Road,42.0,2250000,0.5,1.0,1.0,Mayfair Property Group,53571.42857142857
3278,111219570,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111219570,Apartment,Green Point,"North East facing lock-up and go with plenty of natural light all day in the heart of Three Anchor Bay, this spacious one bedroom ...",,65.0,2185000,1.0,1.0,1.0,Tyson Properties Atlantic Seaboard,33615.38461538462
3288,111072671,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111072671,Apartment,Green Point,"Perfectly located, make this spacious 2-bedroom apartment your new home. This ...",8 Vesperdene Road,69.0,3250000,2.0,1.0,1.0,Mayfair Property Group,47101.44927536232
3298,109530819,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109530819,Apartment,Green Point,"Brand new building with high quality finishes, great views is sold fully furnished and ...",169 Main Road,78.0,4495000,1.0,1.0,1.0,LuxuryNites,57628.205128205125
3347,111232961,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111232961,Apartment,Green Point,This is a combination of old character with modern finishes. The apartment features the following:- 2 large bedrooms with plenty of ...,,102.0,4995000,2.0,1.0,1.5,Tyson Properties Atlantic Seaboard,48970.58823529412
3361,111253706,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111253706,Apartment,Green Point,This is a combination of old character with modern finishes. The apartment features the following:- 2 large bedrooms with plenty of ...,,102.0,4995000,2.0,1.0,1.5,Tyson Properties Atlantic Seaboard,48970.58823529412
3435,111054652,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111054652,Apartment,Green Point,This charming 2 bed 1 bath garden apartment is situated in a small character block which ...,32 High Level Road,93.0,3200000,2.0,1.0,1.0,RE/MAX Living,34408.602150537634
3441,110959687,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110959687,Apartment,Green Point,"Simply stunning unit offering two bedrooms, two bathrooms Open balcony, stylish ...",37 Main Road,88.0,4495000,2.0,2.0,1.0,Pam Golding Properties - Atlantic Seaboard,51079.545454545456
3469,111130590,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111130590,Apartment,Green Point,This sunny and light apartment is situated in the very popular Thorniebrae complex in the heart of Green Point and minutes away from ...,,91.0,2995000,2.0,1.5,1.0,Seeff Sea Point - Sales,32912.08791208791
3487,110988078,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110988078,Apartment,Green Point,"2 Bedroomed apartment in Green Point. The main bedroom is large, with an en-suite. The second bedroom is ideal to use as a study and ...",,61.0,2895000,2.0,2.0,1.0,The Cape Town Real Estate Company,47459.016393442624
3543,108823674,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108823674,Apartment,Green Point,"If you seeking to own a contemporary, very well designed one bed roomed apartment, this is it! The flow makes the apartment feel ...",,64.0,3350000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,52343.75
3700,109077074,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109077074,Apartment,Green Point,"Overlooking the fan walk, the Cape Town stadium and out to sea and beyond.This completely refurbished, front facing apartment is now ...",,95.0,3445000,2.0,1.0,2.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,36263.15789473684
3711,111177134,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111177134,Apartment,Green Point,"Overlooking the fan walk, the Cape Town stadium and out to sea and beyond.This completely refurbished, front facing apartment is now ...",,95.0,3445000,2.0,1.0,2.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,36263.15789473684
3733,111071077,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111071077,Apartment,Green Point,"*SOLE MANDATE*The Pied a Terre is conveniently situated in the trendy suburb of Green Point, on the Atlantic Seaboard which is one of ...",,86.0,4490000,2.0,2.0,1.0,,52209.3023255814
3809,111162168,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111162168,Apartment,Green Point,"Sole mandate. Located on the eight floor, this 82 sqm apartment offers beautiful views towards the V&A Waterfront, ocean and ...",,82.0,3395000,2.0,1.0,1.0,Knight Frank,41402.439024390245
3828,111220241,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111220241,Apartment,Green Point,Live in this spacious one-bedroom loft apartment.Perfectly located in Green Point and a stone throw away from the V&A ...,,50.0,1900000,1.0,1.0,1.0,Celsa Properties,38000.0
3836,111185909,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111185909,Apartment,Green Point,"This is an amazing investment opportunity located in the popular suburb ""Green Point"". An Art Deco apartment full of ...",,90.0,2649999,2.0,1.0,1.0,Tyson Properties Atlantic Seaboard,29444.433333333334
3877,111222027,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111222027,Apartment,Green Point,Sole mandate - be quick to secure this very spacious green point apartment with ...,43 High Level Rd,127.0,3250000,2.0,1.5,3.0,Fine & Country - Associates,25590.55118110236
3912,110883331,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110883331,Apartment,Green Point,"No transfer duty (Vat Inclusive)Located in a sought-after pocket of Green Point, this penthouse offers immaculate high-end finishes ...",,176.0,8195000,2.0,2.5,2.0,Property Alliance,46562.5
3930,111146751,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111146751,Apartment,Green Point,Wrap yourself up in grandiose surroundings in this superb 2 bedroom apartment in the heart of trendy Green Point.Far reaching views ...,,110.0,5995000,2.0,2.0,1.0,Rawson Properties Claremont,54500.0
3968,108993842,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108993842,Apartment,Green Point,This well-appointed 1 bedroom apartment is one of a few sought-after oversized corner units located in the prestigious Cape Royale and ...,,62.0,2995000,1.0,1.0,1.0,Dogon Group Sea Point - Head Office,48306.45161290323
4054,111140633,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111140633,Apartment,Green Point,This lovely quaint one bedroomed apartment is nestled in the sought-after area of Green Point offering you safe and secure living. ...,,66.0,2150000,1.0,1.0,1.0,Keller Williams Explore Atlantic,32575.757575757576
4061,110603826,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110603826,Apartment,Green Point,Exclusive Mandate – Tastefully renovated in a sought-after complex. Move right in to ...,8 Vesperdene Road,68.0,2800000,2.0,2.0,1.0,Pam Golding Properties - Waterfront,41176.470588235294
4065,110999976,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110999976,Apartment,Green Point,Green Point Village - Character Apartment including a Secure Under-cover Parking Bay. Perfect Location - Perfect Apartment and great ...,,77.0,2450000,2.0,1.0,1.0,RE/MAX Living,31818.18181818182
4075,111131209,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111131209,Apartment,Green Point,"ORIGINAL ART DECO BLOCKThis spacious 90 sqm two bedroom, one bathroom apartment with ...",39 High Level Road,90.0,2790000,2.0,1.0,1.0,,31000.0
4156,110369827,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110369827,Apartment,Green Point,"Signatura’s new Green Point development is located at the end of Romney Street, a quiet ...",6 Romney Street,57.0,2700000,1.0,1.0,1.0,Realtor of Excellence,47368.42105263158
4214,110479688,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110479688,Apartment,Green Point,Exclusive Mandate – Beautifully renovated studio in the heart of Green Point. Renovated ...,12 Upper Portswood Road,36.0,1650000,,1.0,1.0,Pam Golding Properties - Waterfront,45833.333333333336
4215,111167166,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111167166,Apartment,Green Point,"Located in the heart of the Green Point 'Silver Mile'.2 bedroom, 2 bathroom apartment.Internal 71m2, balcony 15 m2, total ...",,86.0,5330000,2.0,2.0,2.0,RE/MAX Living,61976.74418604651
4241,111208151,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111208151,Apartment,Green Point,"The Portswood (AIRB'N'B FRIENDLY)The original house on this piece of land proudly carried the name ""Portswood' for ...",,40.0,2300000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,57500.0
4255,111254598,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/111254598,Apartment,Green Point,"The Portswood (AIRB'N'B FRIENDLY)The original house on this piece of land proudly carried the name ""Portswood' for ...",,40.0,2300000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,57500.0
